               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1046,           0.0087327,            0.034254,             0.35781,             0.21227,             0.11883,             0.04373,            0.075526,           0.0070388,            0.027139,            0.070014,           0.0033318,           0.0033318
                   1,             0.08486,           0.0068092,             0.02251,             0.20798,              0.2951,             0.22671,            0.088034,            0.070489,           0.0064728,            0.021799,            0.039794,           0.0064452,           0.0064452
                   2,            0.083389,           0.0065367,            0.019158,             0.56652,             0.23605,             0.22342,            0.086714,            0.072633,           0.0064016,            0.017878,           0.0093541,           0.0093385,           0.0093385
                   3,             0.08094,            0.006495,            0.017113,             0.61679,             0.29988,              0.3033,             0.11749,             0.06907,           0.0061089,            0.016135,             0.00901,             0.00901,             0.00901
                   4,            0.075645,           0.0064201,            0.014199,             0.67488,              0.3268,             0.36702,             0.15842,            0.065539,            0.005926,            0.014653,             0.00901,             0.00901,             0.00901
                   5,            0.071926,            0.006204,            0.012433,             0.53976,             0.45043,             0.44907,             0.20038,            0.062861,           0.0057436,            0.013504,             0.00868,             0.00868,             0.00868
                   6,            0.069615,           0.0060944,            0.011233,              0.6706,             0.48275,             0.51643,             0.23444,            0.060883,           0.0057331,            0.012717,             0.00835,             0.00835,             0.00835
                   7,            0.067981,           0.0060419,           0.0099487,             0.69939,             0.48112,             0.52564,               0.237,            0.060733,            0.005587,            0.013074,             0.00802,             0.00802,             0.00802
                   8,             0.06677,           0.0059015,           0.0090088,             0.71943,             0.52608,             0.55718,              0.2575,            0.059217,           0.0055771,            0.011757,             0.00769,             0.00769,             0.00769
                   9,            0.064929,           0.0058807,            0.008578,               0.754,             0.52954,              0.5773,             0.27375,            0.058219,           0.0055103,            0.011989,             0.00736,             0.00736,             0.00736
                  10,            0.064035,           0.0057804,            0.007929,             0.74188,             0.54928,             0.59052,             0.28146,            0.057917,           0.0054599,            0.011313,             0.00703,             0.00703,             0.00703
                  11,            0.063384,           0.0056733,           0.0076883,             0.76798,             0.54388,             0.59417,             0.29288,            0.057367,           0.0054495,            0.011357,              0.0067,              0.0067,              0.0067
                  12,            0.062432,           0.0056642,           0.0075126,             0.76427,             0.55609,             0.60224,             0.29284,            0.056879,           0.0054121,            0.010874,             0.00637,             0.00637,             0.00637
                  13,            0.061656,           0.0055583,           0.0066183,             0.78346,             0.55652,             0.61124,             0.29854,            0.056289,           0.0053716,            0.010853,             0.00604,             0.00604,             0.00604
                  14,            0.060833,           0.0055569,           0.0064938,              0.7697,             0.56195,             0.61148,             0.30191,            0.055701,           0.0053461,            0.011796,             0.00571,             0.00571,             0.00571
                  15,            0.060157,           0.0055056,           0.0061505,             0.78175,             0.56603,             0.61641,             0.30764,            0.055563,           0.0053297,            0.011802,             0.00538,             0.00538,             0.00538
                  16,            0.059485,           0.0054461,           0.0058957,             0.76855,             0.56228,             0.61071,             0.30761,             0.05524,            0.005306,            0.011764,             0.00505,             0.00505,             0.00505
                  17,             0.05859,           0.0054144,           0.0058028,             0.76589,             0.57925,              0.6207,             0.31257,             0.05493,           0.0052808,            0.011196,             0.00472,             0.00472,             0.00472
                  18,            0.058111,           0.0053922,           0.0054445,             0.76989,             0.57845,             0.62047,             0.31417,            0.054608,           0.0052735,             0.01103,             0.00439,             0.00439,             0.00439
                  19,            0.057588,           0.0053709,           0.0052152,             0.78253,             0.57635,             0.62737,             0.31762,            0.054394,           0.0052973,            0.011236,             0.00406,             0.00406,             0.00406
                  20,             0.05677,           0.0052358,           0.0051121,             0.77441,             0.58443,             0.63211,             0.32096,            0.054133,           0.0052548,            0.011097,             0.00373,             0.00373,             0.00373
                  21,            0.056504,            0.005252,           0.0046765,              0.7578,             0.59964,             0.63595,             0.32319,            0.053997,           0.0052574,            0.011002,              0.0034,              0.0034,              0.0034
                  22,            0.055767,           0.0052188,           0.0046151,             0.75708,             0.60039,             0.63616,             0.32376,            0.053879,           0.0052468,            0.010918,             0.00307,             0.00307,             0.00307
                  23,            0.054847,           0.0051188,           0.0042458,             0.77109,             0.59729,             0.63891,             0.32308,             0.05375,           0.0052346,            0.010834,             0.00274,             0.00274,             0.00274
                  24,            0.054312,           0.0050486,            0.004209,             0.78463,             0.59038,             0.63865,             0.32473,            0.053643,           0.0052285,            0.010829,             0.00241,             0.00241,             0.00241
                  25,            0.053443,           0.0050593,           0.0039249,             0.77525,              0.5955,             0.63906,             0.32625,            0.053581,           0.0052264,            0.011008,             0.00208,             0.00208,             0.00208
                  26,            0.053416,           0.0049794,           0.0039442,             0.77336,             0.59847,             0.64025,             0.32643,             0.05352,           0.0052218,            0.011101,             0.00175,             0.00175,             0.00175
                  27,            0.052584,           0.0050171,           0.0037388,             0.77805,             0.59762,             0.64078,             0.32671,            0.053476,           0.0052181,            0.011195,             0.00142,             0.00142,             0.00142
                  28,            0.052067,           0.0049323,           0.0034322,             0.77866,             0.59851,             0.64202,              0.3285,            0.053438,           0.0052121,             0.01122,             0.00109,             0.00109,             0.00109
                  29,            0.051532,           0.0048749,           0.0034223,              0.7768,             0.59957,             0.64194,             0.32831,            0.053402,           0.0052128,            0.011265,             0.00076,             0.00076,             0.00076
