               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065049,            0.021083,            0.035931,               0.363,             0.69036,              0.5205,             0.26418,            0.042595,            0.010543,             0.03152,            0.070148,           0.0033169,           0.0033169
                   1,            0.048796,            0.012722,            0.024469,             0.70879,             0.75966,             0.83657,             0.35863,            0.047682,            0.006698,            0.011705,            0.039928,           0.0064308,           0.0064308
                   2,            0.047826,            0.009212,           0.0093651,             0.82199,              0.9619,             0.90648,             0.38579,            0.040186,           0.0050567,           0.0029057,           0.0094889,           0.0093247,           0.0093247
                   3,            0.041004,           0.0074537,           0.0048487,             0.97722,             0.99801,             0.99337,             0.59738,            0.031764,           0.0042463,           0.0017669,             0.00901,             0.00901,             0.00901
                   4,            0.036125,           0.0071184,           0.0041692,             0.99833,                   1,               0.995,             0.60062,            0.029433,           0.0040952,           0.0016524,             0.00901,             0.00901,             0.00901
                   5,            0.033221,           0.0065368,           0.0034414,             0.99658,              0.9973,             0.99365,             0.58511,            0.031123,           0.0038953,           0.0012914,             0.00868,             0.00868,             0.00868
                   6,            0.031055,           0.0062293,           0.0029056,             0.99837,                   1,               0.995,             0.64269,            0.026892,           0.0038092,           0.0011118,             0.00835,             0.00835,             0.00835
                   7,            0.029472,           0.0061606,           0.0031394,             0.99958,                   1,               0.995,             0.67017,            0.023394,           0.0036866,           0.0010175,             0.00802,             0.00802,             0.00802
                   8,            0.028095,           0.0059626,           0.0025007,             0.99961,                   1,               0.995,             0.67986,            0.023384,            0.003605,          0.00078974,             0.00769,             0.00769,             0.00769
                   9,            0.027451,           0.0059481,           0.0026417,             0.99779,             0.99978,             0.99493,             0.67781,            0.022835,           0.0035576,          0.00080892,             0.00736,             0.00736,             0.00736
                  10,            0.026384,           0.0058419,           0.0024072,              0.9996,                   1,               0.995,             0.67531,            0.022411,           0.0035066,          0.00063188,             0.00703,             0.00703,             0.00703
                  11,            0.025278,           0.0058052,           0.0020732,             0.99951,                   1,               0.995,             0.70371,            0.021223,           0.0034108,          0.00064554,              0.0067,              0.0067,              0.0067
                  12,            0.024765,           0.0056578,           0.0018754,             0.99952,                   1,               0.995,             0.68976,            0.021169,           0.0033862,          0.00056548,             0.00637,             0.00637,             0.00637
                  13,            0.024028,           0.0056422,           0.0019192,             0.99779,             0.99819,             0.99473,             0.69817,            0.021073,            0.003383,          0.00063279,             0.00604,             0.00604,             0.00604
                  14,            0.023396,           0.0056395,           0.0018609,             0.99953,                   1,               0.995,             0.70697,             0.02061,           0.0033334,          0.00051913,             0.00571,             0.00571,             0.00571
                  15,            0.023382,           0.0055447,           0.0015213,             0.99969,                   1,               0.995,             0.71236,            0.020565,           0.0034224,          0.00041542,             0.00538,             0.00538,             0.00538
                  16,            0.022605,           0.0054036,           0.0020346,             0.99973,                   1,               0.995,             0.70758,            0.020706,           0.0033386,          0.00038851,             0.00505,             0.00505,             0.00505
                  17,            0.022783,           0.0054645,           0.0018183,             0.99967,                   1,               0.995,              0.7066,            0.020326,           0.0033884,          0.00038721,             0.00472,             0.00472,             0.00472
                  18,            0.021666,           0.0053642,           0.0015003,             0.99967,                   1,               0.995,             0.72623,            0.019554,           0.0033145,          0.00030944,             0.00439,             0.00439,             0.00439
                  19,            0.021423,           0.0053625,           0.0015559,             0.99965,                   1,               0.995,             0.71484,            0.019913,           0.0033077,          0.00033517,             0.00406,             0.00406,             0.00406
                  20,             0.02128,           0.0052768,           0.0013789,             0.99966,                   1,               0.995,             0.71461,            0.019706,           0.0032922,          0.00028268,             0.00373,             0.00373,             0.00373
                  21,            0.020954,           0.0052328,           0.0012822,             0.99959,                   1,               0.995,             0.72714,            0.019339,            0.003324,          0.00024286,              0.0034,              0.0034,              0.0034
                  22,            0.020843,             0.00527,           0.0013537,             0.99958,                   1,               0.995,             0.72026,            0.019458,           0.0032441,          0.00027053,             0.00307,             0.00307,             0.00307
                  23,            0.020408,           0.0051417,           0.0011393,             0.99964,                   1,               0.995,             0.72532,            0.019224,           0.0032295,          0.00019985,             0.00274,             0.00274,             0.00274
                  24,            0.020269,           0.0049961,           0.0012106,             0.99966,                   1,               0.995,              0.7281,            0.019166,           0.0032571,          0.00024779,             0.00241,             0.00241,             0.00241
                  25,            0.020164,           0.0051841,          0.00096404,             0.99959,                   1,               0.995,              0.7225,            0.019499,           0.0032352,          0.00016632,             0.00208,             0.00208,             0.00208
                  26,            0.019768,           0.0050003,           0.0011332,             0.99973,                   1,               0.995,             0.72928,            0.018946,           0.0032203,          0.00017758,             0.00175,             0.00175,             0.00175
                  27,            0.019681,           0.0050337,          0.00090165,             0.99967,                   1,               0.995,             0.73536,            0.019037,           0.0032287,          0.00014462,             0.00142,             0.00142,             0.00142
                  28,             0.01939,           0.0050584,           0.0010011,             0.99967,                   1,               0.995,             0.73008,            0.018864,           0.0031941,          0.00014427,             0.00109,             0.00109,             0.00109
                  29,            0.018855,            0.005018,           0.0007515,             0.99962,                   1,               0.995,             0.73418,            0.018688,           0.0031767,          0.00012353,             0.00076,             0.00076,             0.00076
