               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1044,              0.0366,            0.070731,                   0,                   0,                   0,                   0,             0.10048,            0.022094,             0.06728,            0.070508,           0.0032768,           0.0032768
                   1,            0.098008,            0.035192,            0.060084,             0.92318,           0.0048077,          0.00011187,          2.3905e-05,              0.1135,            0.038274,            0.097246,            0.040487,           0.0065884,           0.0065884
                   2,            0.091119,            0.034651,            0.040964,             0.15918,           0.0020979,          0.00081219,          0.00015126,            0.099471,            0.079391,            0.052065,            0.010443,           0.0098779,           0.0098779
                   3,            0.080318,            0.034465,            0.029221,             0.59492,            0.034744,              0.0132,           0.0038232,              0.0916,             0.13068,            0.044283,            0.009901,            0.009901,            0.009901
                   4,            0.069853,             0.03371,            0.021469,             0.85728,            0.066348,            0.063142,            0.022366,            0.072371,            0.023256,            0.034696,            0.009901,            0.009901,            0.009901
                   5,            0.063548,            0.032278,            0.016209,             0.74759,             0.10199,             0.11819,             0.04601,            0.067279,            0.020525,            0.026938,            0.009868,            0.009868,            0.009868
                   6,            0.059613,            0.031344,            0.014099,             0.79185,             0.12863,             0.18152,            0.073315,            0.061108,            0.018255,            0.024239,            0.009835,            0.009835,            0.009835
                   7,            0.055853,             0.02975,            0.012268,             0.81927,             0.18046,             0.19926,            0.090837,            0.059836,            0.017053,            0.023159,            0.009802,            0.009802,            0.009802
                   8,            0.053278,            0.028875,            0.010872,             0.78612,             0.24395,             0.21695,            0.099924,            0.056202,            0.016464,            0.024808,            0.009769,            0.009769,            0.009769
                   9,            0.051078,             0.02793,           0.0098411,             0.79863,             0.26587,              0.2522,             0.11788,            0.054198,            0.016465,            0.020187,            0.009736,            0.009736,            0.009736
                  10,            0.049447,            0.027266,           0.0094838,             0.84345,             0.21235,             0.24196,             0.10782,            0.052689,            0.015915,            0.020357,            0.009703,            0.009703,            0.009703
                  11,            0.047956,            0.026568,           0.0089193,             0.82903,             0.27425,             0.25272,             0.11959,            0.050312,            0.015631,            0.021807,             0.00967,             0.00967,             0.00967
                  12,            0.046812,             0.02632,           0.0080231,             0.88019,             0.22536,             0.24577,             0.11901,            0.051442,            0.016864,            0.023346,            0.009637,            0.009637,            0.009637
                  13,            0.045549,            0.025527,           0.0081469,             0.84756,             0.25402,             0.27767,             0.13127,            0.050244,            0.015461,            0.019799,            0.009604,            0.009604,            0.009604
                  14,            0.044828,             0.02555,             0.00811,             0.87523,             0.28215,             0.29453,             0.15039,             0.04773,            0.014609,            0.016114,            0.009571,            0.009571,            0.009571
                  15,             0.04367,            0.025376,           0.0071338,             0.88141,             0.27086,             0.29371,             0.15575,            0.045887,            0.014298,            0.018111,            0.009538,            0.009538,            0.009538
                  16,            0.042746,            0.024436,              0.0068,             0.86899,             0.27906,             0.29332,             0.15121,            0.046648,            0.014979,             0.01866,            0.009505,            0.009505,            0.009505
                  17,            0.041969,            0.024479,           0.0064749,               0.895,             0.25279,             0.33714,             0.15734,             0.04581,            0.014172,             0.01513,            0.009472,            0.009472,            0.009472
                  18,            0.041468,            0.024596,           0.0064781,             0.91103,             0.30627,             0.33333,             0.17501,            0.043893,            0.013683,            0.014937,            0.009439,            0.009439,            0.009439
                  19,            0.041379,            0.023693,           0.0064706,             0.79443,             0.28397,             0.30179,             0.15438,            0.043904,            0.013783,            0.015601,            0.009406,            0.009406,            0.009406
                  20,            0.040355,            0.023591,           0.0057941,             0.91667,             0.31732,             0.33076,             0.17932,            0.044355,            0.013751,             0.01937,            0.009373,            0.009373,            0.009373
                  21,            0.040023,            0.023623,           0.0065412,             0.82143,              0.3033,             0.30207,              0.1568,            0.043693,             0.01335,            0.015936,             0.00934,             0.00934,             0.00934
                  22,            0.039529,            0.023324,           0.0057976,             0.57776,              0.3464,             0.34257,             0.17408,            0.041845,            0.013402,            0.016043,            0.009307,            0.009307,            0.009307
                  23,            0.039018,            0.022971,           0.0055991,             0.90548,             0.30128,             0.31356,             0.17337,            0.043934,            0.013809,            0.018811,            0.009274,            0.009274,            0.009274
                  24,            0.038741,            0.022552,           0.0058233,             0.89265,             0.30641,             0.35474,             0.17361,            0.041435,            0.012796,              0.0137,            0.009241,            0.009241,            0.009241
                  25,            0.038524,            0.022529,           0.0055217,              0.9313,             0.31087,             0.32685,             0.18439,            0.041366,            0.013084,            0.016881,            0.009208,            0.009208,            0.009208
                  26,            0.037998,            0.022589,           0.0055382,             0.89285,             0.32003,             0.33974,             0.19024,            0.040483,            0.013211,            0.015725,            0.009175,            0.009175,            0.009175
                  27,             0.03731,            0.022853,           0.0053936,             0.88771,             0.30749,             0.31645,             0.17807,            0.041234,             0.01344,            0.016035,            0.009142,            0.009142,            0.009142
                  28,            0.037291,            0.022004,           0.0052453,             0.89992,             0.28788,             0.28964,             0.16251,            0.043113,            0.013501,            0.019212,            0.009109,            0.009109,            0.009109
                  29,            0.036792,            0.022091,           0.0051406,             0.72465,             0.32665,             0.35022,             0.18087,            0.040948,            0.012704,            0.013528,            0.009076,            0.009076,            0.009076
                  30,            0.036584,            0.021993,           0.0053086,             0.89173,             0.32695,             0.32997,             0.18408,            0.040542,            0.013291,            0.019945,            0.009043,            0.009043,            0.009043
                  31,            0.035999,            0.022036,           0.0047922,             0.91171,             0.31035,             0.33177,             0.18803,            0.039551,            0.012867,            0.016431,             0.00901,             0.00901,             0.00901
                  32,            0.035661,            0.021575,           0.0047987,             0.81589,             0.30974,             0.33422,             0.18324,            0.039564,            0.012543,            0.017886,            0.008977,            0.008977,            0.008977
                  33,            0.035291,            0.021369,           0.0045425,             0.91717,             0.30957,             0.34805,             0.18891,            0.039472,            0.012831,            0.017586,            0.008944,            0.008944,            0.008944
                  34,            0.035805,            0.021273,           0.0048815,             0.94485,             0.31914,             0.35737,             0.19721,            0.038755,            0.012338,            0.013617,            0.008911,            0.008911,            0.008911
                  35,            0.034783,            0.021088,           0.0046444,             0.90048,             0.31062,             0.31382,             0.18715,             0.04067,            0.013562,            0.020326,            0.008878,            0.008878,            0.008878
                  36,            0.034669,            0.020839,           0.0040236,             0.91881,             0.31407,             0.32789,             0.19018,            0.038236,            0.011963,            0.014782,            0.008845,            0.008845,            0.008845
                  37,            0.034554,            0.021233,           0.0045416,             0.94576,              0.3201,             0.37032,             0.21469,            0.036863,            0.011879,            0.014228,            0.008812,            0.008812,            0.008812
