               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11106,             0.02803,            0.039458,           0.0015579,             0.47461,             0.11767,            0.058389,            0.078192,            0.017908,            0.046106,              0.0892,              0.0012,              0.0012
                   1,            0.081609,            0.026304,            0.037782,           0.0033114,                   1,            0.056688,            0.021239,            0.051534,            0.014427,            0.045419,            0.077418,           0.0024175,           0.0024175
                   2,            0.063344,            0.023607,            0.036031,             0.38233,             0.44042,             0.14744,            0.058122,            0.043956,            0.010412,            0.042023,            0.065549,           0.0035492,           0.0035492
                   3,            0.055975,            0.019157,            0.034007,            0.094724,             0.56863,             0.29289,              0.1847,             0.05064,           0.0089831,            0.038278,            0.053595,           0.0045951,           0.0045951
                   4,             0.05382,            0.017828,            0.032288,             0.32235,             0.82761,             0.57192,             0.24444,            0.048751,           0.0084424,            0.036145,            0.041555,           0.0055552,           0.0055552
                   5,            0.050486,            0.016728,            0.029864,             0.40799,             0.93056,             0.79391,             0.47337,             0.04025,           0.0068491,             0.02916,            0.029429,           0.0064295,           0.0064295
                   6,            0.049932,            0.014911,             0.02744,             0.39834,             0.87395,             0.77587,             0.42302,            0.046785,           0.0062761,            0.026967,            0.017218,            0.007218,            0.007218
                   7,            0.046112,            0.012988,             0.02336,             0.45517,             0.93056,             0.84068,             0.46724,            0.043521,           0.0047345,            0.026935,             0.00769,             0.00769,             0.00769
                   8,            0.045633,             0.01226,            0.021385,             0.48179,             0.83333,             0.87089,             0.28932,            0.043602,            0.004072,            0.013353,             0.00769,             0.00769,             0.00769
                   9,             0.04246,            0.011001,             0.01922,             0.87264,             0.91873,             0.94198,             0.49012,            0.048856,           0.0036135,            0.010327,             0.00736,             0.00736,             0.00736
                  10,            0.040362,            0.010717,            0.018061,             0.94852,             0.93559,              0.9731,             0.55926,            0.037467,           0.0035911,           0.0076607,             0.00703,             0.00703,             0.00703
                  11,            0.037816,           0.0096367,            0.014559,             0.94726,             0.93535,             0.96235,             0.59099,            0.044283,           0.0031512,           0.0043674,              0.0067,              0.0067,              0.0067
                  12,            0.037044,           0.0093075,            0.013955,             0.98348,                   1,               0.995,             0.70723,            0.032467,           0.0030594,           0.0029165,             0.00637,             0.00637,             0.00637
                  13,            0.034516,           0.0090063,            0.012337,              0.8809,                   1,               0.995,               0.744,             0.03097,           0.0032856,           0.0023277,             0.00604,             0.00604,             0.00604
                  14,            0.033711,           0.0082385,             0.01031,             0.74663,                   1,             0.93442,             0.68226,            0.035925,           0.0030296,           0.0016479,             0.00571,             0.00571,             0.00571
                  15,             0.03157,           0.0079971,            0.012716,             0.99389,                   1,               0.995,             0.80535,            0.025437,           0.0025387,            0.002092,             0.00538,             0.00538,             0.00538
                  16,            0.031429,           0.0085075,           0.0096574,             0.99317,                   1,               0.995,             0.80041,             0.02037,           0.0027442,           0.0021297,             0.00505,             0.00505,             0.00505
                  17,            0.029419,           0.0075827,            0.010061,             0.99194,                   1,               0.995,             0.78881,            0.031763,            0.002789,           0.0011649,             0.00472,             0.00472,             0.00472
                  18,            0.027179,           0.0075915,            0.011573,             0.99399,                   1,               0.995,             0.82325,            0.019424,           0.0025718,           0.0014254,             0.00439,             0.00439,             0.00439
                  19,            0.026577,           0.0080168,           0.0088671,             0.99316,                   1,               0.995,             0.80509,            0.021997,           0.0025058,           0.0017627,             0.00406,             0.00406,             0.00406
                  20,            0.025566,           0.0073766,           0.0081843,             0.99374,                   1,               0.995,             0.85077,            0.015478,           0.0021901,           0.0015183,             0.00373,             0.00373,             0.00373
                  21,            0.025486,           0.0072493,           0.0088505,             0.99223,                   1,               0.995,             0.78385,            0.018867,           0.0023174,           0.0012998,              0.0034,              0.0034,              0.0034
                  22,            0.023892,           0.0074371,           0.0071379,             0.99514,                   1,               0.995,             0.89747,            0.020754,           0.0020525,           0.0013367,             0.00307,             0.00307,             0.00307
                  23,            0.023346,            0.007198,           0.0068523,             0.99584,                   1,               0.995,             0.87298,               0.014,           0.0020862,           0.0010099,             0.00274,             0.00274,             0.00274
                  24,            0.022966,           0.0067482,           0.0074662,             0.99604,                   1,               0.995,             0.89058,            0.017958,           0.0018994,           0.0010622,             0.00241,             0.00241,             0.00241
                  25,            0.020657,           0.0065266,           0.0075343,             0.99482,                   1,               0.995,             0.85423,            0.015031,           0.0019588,          0.00091367,             0.00208,             0.00208,             0.00208
                  26,            0.020784,           0.0066983,           0.0060712,             0.99493,                   1,               0.995,             0.91567,             0.01244,           0.0019112,          0.00085845,             0.00175,             0.00175,             0.00175
                  27,            0.021104,           0.0065733,            0.008229,             0.99553,                   1,               0.995,             0.91032,             0.01146,           0.0017408,            0.000945,             0.00142,             0.00142,             0.00142
                  28,            0.020151,           0.0065058,           0.0087493,             0.99565,                   1,               0.995,             0.88688,            0.011582,           0.0018218,          0.00090065,             0.00109,             0.00109,             0.00109
                  29,            0.019614,           0.0066559,           0.0068072,             0.99544,                   1,               0.995,             0.91257,            0.010297,           0.0017425,          0.00087461,             0.00076,             0.00076,             0.00076
