               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10575,           0.0085179,            0.034963,             0.47351,             0.17806,             0.10325,             0.03549,            0.076674,           0.0068553,             0.02718,            0.070014,           0.0033318,           0.0033318
                   1,            0.087185,           0.0066233,             0.02134,             0.60526,             0.23043,              0.2044,            0.080988,            0.072773,           0.0063664,             0.02177,            0.039794,           0.0064452,           0.0064452
                   2,            0.085388,           0.0065123,            0.017446,             0.65009,             0.20101,             0.20946,            0.076518,            0.074347,           0.0065652,            0.020748,           0.0093541,           0.0093385,           0.0093385
                   3,            0.082704,           0.0065809,            0.016164,             0.69998,             0.22672,             0.24777,            0.098654,            0.069151,            0.006579,            0.018494,             0.00901,             0.00901,             0.00901
                   4,            0.077458,           0.0063515,            0.013994,             0.69322,             0.27762,             0.31215,             0.13476,             0.06703,           0.0060348,            0.017669,             0.00901,             0.00901,             0.00901
                   5,            0.074021,           0.0062635,            0.012237,             0.69112,             0.33971,             0.37581,             0.16198,            0.064136,            0.005895,            0.015843,             0.00868,             0.00868,             0.00868
                   6,            0.071167,           0.0060632,            0.010526,             0.77045,             0.37891,             0.42238,             0.18955,            0.062661,           0.0057779,            0.014184,             0.00835,             0.00835,             0.00835
                   7,            0.069032,           0.0060385,           0.0093749,             0.77709,             0.40794,             0.45094,              0.2072,            0.061389,           0.0056836,            0.014789,             0.00802,             0.00802,             0.00802
                   8,            0.067751,           0.0059803,           0.0085958,             0.77078,             0.42488,             0.46684,             0.22015,             0.06043,           0.0057081,            0.013494,             0.00769,             0.00769,             0.00769
                   9,            0.066609,           0.0059136,           0.0081049,              0.7864,             0.44157,              0.4773,             0.22344,            0.059668,           0.0056086,            0.013639,             0.00736,             0.00736,             0.00736
                  10,            0.065568,           0.0058517,           0.0076366,              0.8021,             0.45631,             0.49412,             0.23613,            0.058923,           0.0055825,            0.013524,             0.00703,             0.00703,             0.00703
                  11,            0.064567,           0.0057065,           0.0073971,             0.78808,             0.45252,               0.493,             0.23712,            0.058721,            0.005551,            0.013113,              0.0067,              0.0067,              0.0067
                  12,            0.063512,           0.0057051,           0.0065353,              0.7956,             0.45917,             0.50632,             0.24694,            0.057855,            0.005495,            0.012895,             0.00637,             0.00637,             0.00637
                  13,            0.062729,            0.005607,           0.0063789,             0.78769,             0.46808,             0.50471,             0.25003,            0.057205,           0.0054573,            0.013124,             0.00604,             0.00604,             0.00604
                  14,            0.062041,           0.0055405,           0.0061726,              0.8151,             0.47827,             0.51831,             0.25618,            0.056884,           0.0054346,            0.012928,             0.00571,             0.00571,             0.00571
                  15,            0.060903,           0.0055189,           0.0057623,             0.81764,             0.47727,             0.52173,             0.25917,            0.056509,           0.0054199,            0.012522,             0.00538,             0.00538,             0.00538
                  16,            0.060759,           0.0054716,           0.0059985,               0.817,             0.48663,             0.52954,             0.26218,            0.056298,           0.0053935,            0.012598,             0.00505,             0.00505,             0.00505
                  17,            0.060128,           0.0054524,            0.005245,             0.82603,             0.48101,              0.5277,             0.26325,            0.056011,           0.0053712,            0.012886,             0.00472,             0.00472,             0.00472
                  18,            0.059115,             0.00541,           0.0052655,             0.81907,             0.48741,             0.53097,             0.26529,            0.055739,           0.0053898,            0.012367,             0.00439,             0.00439,             0.00439
                  19,            0.058525,            0.005367,             0.00511,              0.8297,             0.48387,             0.53282,             0.26642,            0.055584,           0.0053881,            0.012521,             0.00406,             0.00406,             0.00406
                  20,            0.058188,           0.0052756,           0.0048807,             0.82907,             0.49027,             0.53778,             0.27098,            0.055359,           0.0053631,             0.01278,             0.00373,             0.00373,             0.00373
                  21,            0.057127,           0.0052886,           0.0047078,             0.82399,             0.49767,             0.53926,             0.27347,            0.055211,           0.0053595,            0.012672,              0.0034,              0.0034,              0.0034
                  22,            0.056731,           0.0052385,           0.0044047,             0.82491,             0.49288,             0.54006,             0.27388,            0.055078,           0.0053523,            0.012733,             0.00307,             0.00307,             0.00307
                  23,            0.056177,           0.0051551,           0.0040497,             0.81911,             0.49706,             0.54163,             0.27393,            0.054982,           0.0053435,            0.012859,             0.00274,             0.00274,             0.00274
                  24,            0.055468,            0.005115,           0.0038417,             0.80953,             0.50591,             0.54258,             0.27464,            0.054931,           0.0053495,            0.013039,             0.00241,             0.00241,             0.00241
                  25,            0.054629,           0.0050734,           0.0036688,              0.8136,             0.50207,             0.54273,             0.27605,             0.05484,           0.0053493,            0.013289,             0.00208,             0.00208,             0.00208
                  26,            0.054386,           0.0049787,            0.003553,             0.81333,             0.50291,             0.54183,             0.27576,            0.054781,           0.0053498,            0.013404,             0.00175,             0.00175,             0.00175
                  27,            0.053479,           0.0049985,           0.0037171,             0.82536,             0.49793,             0.54187,             0.27622,            0.054745,           0.0053532,            0.013505,             0.00142,             0.00142,             0.00142
                  28,            0.053065,           0.0048711,           0.0034704,             0.82359,              0.4989,               0.543,             0.27678,            0.054726,           0.0053568,            0.013607,             0.00109,             0.00109,             0.00109
                  29,            0.052416,           0.0048676,           0.0033828,             0.81977,             0.50008,             0.54244,             0.27672,            0.054685,           0.0053584,            0.013693,             0.00076,             0.00076,             0.00076
