               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10807,           0.0089085,            0.035948,             0.45613,             0.16503,            0.091613,            0.032909,            0.087254,           0.0069172,            0.030238,            0.070028,           0.0033302,           0.0033302
                   1,            0.087198,           0.0067345,            0.021432,             0.63787,             0.22415,             0.21954,            0.083482,            0.079244,           0.0065045,            0.022369,            0.039808,           0.0064437,           0.0064437
                   2,            0.085311,           0.0065351,            0.017548,             0.59108,             0.18355,             0.15822,            0.058859,            0.085655,           0.0068876,            0.027318,           0.0093682,           0.0093371,           0.0093371
                   3,            0.083017,           0.0065826,            0.017069,              0.6387,             0.24013,              0.2248,            0.091141,            0.078407,           0.0064123,            0.019929,             0.00901,             0.00901,             0.00901
                   4,            0.077014,           0.0064888,            0.013776,             0.72777,             0.25081,             0.28573,             0.12036,            0.076138,            0.006119,            0.017808,             0.00901,             0.00901,             0.00901
                   5,            0.073363,           0.0063058,            0.012373,             0.68479,             0.37621,             0.38821,             0.17107,             0.07139,           0.0058843,            0.016499,             0.00868,             0.00868,             0.00868
                   6,            0.071219,           0.0061944,            0.010679,             0.73136,             0.37746,              0.4041,             0.17925,            0.069857,           0.0058001,            0.015468,             0.00835,             0.00835,             0.00835
                   7,            0.069663,           0.0060968,           0.0095744,             0.75774,             0.41495,             0.44871,             0.19467,            0.068871,           0.0057987,            0.015517,             0.00802,             0.00802,             0.00802
                   8,            0.067699,           0.0059403,           0.0086158,             0.75013,             0.41208,             0.44876,             0.21327,            0.067499,           0.0057235,            0.016075,             0.00769,             0.00769,             0.00769
                   9,            0.066287,           0.0059551,           0.0081065,             0.79661,             0.44241,             0.48157,             0.22553,            0.066272,           0.0055717,            0.014393,             0.00736,             0.00736,             0.00736
                  10,             0.06535,           0.0058894,           0.0075045,             0.80481,             0.44408,             0.48587,             0.23207,            0.065585,           0.0056281,            0.014432,             0.00703,             0.00703,             0.00703
                  11,            0.064396,           0.0057618,           0.0074269,             0.81443,               0.457,             0.50069,             0.23676,            0.064889,           0.0055544,            0.013259,              0.0067,              0.0067,              0.0067
                  12,            0.063239,           0.0057188,           0.0071127,             0.81109,             0.46367,             0.50399,             0.24715,             0.06441,           0.0055091,            0.013045,             0.00637,             0.00637,             0.00637
                  13,            0.062689,           0.0056018,           0.0064842,             0.81213,             0.46491,             0.51241,             0.25055,            0.063522,           0.0054946,            0.013347,             0.00604,             0.00604,             0.00604
                  14,            0.062104,           0.0055758,           0.0062231,             0.81199,             0.46945,             0.51216,             0.25389,            0.063506,           0.0054603,            0.013008,             0.00571,             0.00571,             0.00571
                  15,            0.061199,           0.0055533,           0.0057964,             0.81591,             0.48427,             0.52181,             0.25891,            0.062769,           0.0054271,            0.013014,             0.00538,             0.00538,             0.00538
                  16,            0.060589,           0.0054808,           0.0056641,             0.81481,             0.49188,             0.52628,               0.262,            0.062418,           0.0053664,            0.012473,             0.00505,             0.00505,             0.00505
                  17,            0.059765,            0.005431,           0.0055765,             0.82031,             0.48544,             0.52586,              0.2614,            0.062109,           0.0053928,            0.012509,             0.00472,             0.00472,             0.00472
                  18,            0.059114,           0.0054168,           0.0051302,              0.8035,             0.48668,             0.52121,             0.26008,            0.062055,           0.0053921,            0.013437,             0.00439,             0.00439,             0.00439
                  19,            0.058733,           0.0053859,           0.0049673,             0.81495,             0.49188,             0.52989,             0.26691,            0.061877,           0.0053502,            0.013741,             0.00406,             0.00406,             0.00406
                  20,            0.057717,           0.0053007,            0.004749,             0.80055,             0.50241,             0.53222,             0.26786,            0.061496,           0.0053294,            0.013088,             0.00373,             0.00373,             0.00373
                  21,            0.057353,           0.0053098,           0.0044018,             0.81326,             0.49963,             0.53574,              0.2715,            0.061356,           0.0053494,            0.013289,              0.0034,              0.0034,              0.0034
                  22,            0.056973,            0.005243,           0.0043622,             0.82116,             0.50115,             0.53697,             0.27275,             0.06116,           0.0053486,             0.01368,             0.00307,             0.00307,             0.00307
                  23,            0.056036,           0.0051701,           0.0043099,             0.82125,             0.49936,             0.54002,             0.27502,            0.061053,           0.0053477,            0.013641,             0.00274,             0.00274,             0.00274
                  24,            0.055709,           0.0051206,            0.004113,              0.8203,             0.49881,             0.53892,             0.27448,            0.060989,             0.00534,            0.013639,             0.00241,             0.00241,             0.00241
                  25,            0.054643,           0.0051278,           0.0039494,             0.82164,             0.49368,             0.53701,             0.27454,            0.060911,           0.0053548,            0.013964,             0.00208,             0.00208,             0.00208
                  26,            0.054113,           0.0050117,           0.0040027,             0.81922,              0.4959,             0.53849,             0.27528,            0.060774,           0.0053649,            0.013875,             0.00175,             0.00175,             0.00175
                  27,            0.053586,           0.0050313,           0.0036568,             0.82162,             0.49328,             0.53837,             0.27482,            0.060675,           0.0053677,               0.014,             0.00142,             0.00142,             0.00142
                  28,            0.053132,           0.0049959,           0.0033327,             0.81571,             0.49868,             0.53849,             0.27551,            0.060613,           0.0053678,            0.013914,             0.00109,             0.00109,             0.00109
                  29,            0.052291,           0.0048757,           0.0034051,             0.81313,             0.50242,             0.53826,             0.27599,            0.060575,           0.0053692,            0.013903,             0.00076,             0.00076,             0.00076
